,text,tag_list
0,difference pnp av dna right thinking dna compliant implemented pnp av dna get besides specifying minimum format requirement dna built top pnp know,"['upnp', ' dlna']"
1,put next suborder like localhostnext try build static file nextjs want put suborder shared host localhost like localhostnextweb tried find example found putting next,"['reactjs', ' next.js']"
2,import error nodemodulesmuixdatepackersadapterdatefnsadapterdatefnsjs error nodemodulesmuixdatepackersadapterdatefnsadapterdatefnsjs module found error package path libformatlongformatters exported package cusersydgit,"['javascript', ' reactjs', ' datepicker', ' calendar', ' mui-x-date-picker']"
3,fixing shorthand prewritten code c closed new c learner saw someone new asking solution given c homework tried solve code look buggy,['c']
4,atomic operation sharedptr c reading c draft n section look like atomic operation sharedptr enables u lockfree complicated structure without worrying gcmemory leak,"['c++', ' c++11', ' shared-ptr']"
5,widthheight work inline img element understanding inline element can not usually sized using cs width height property seems inline img exception resize using width,['css']
6,add annotation calculates value part plot composition using plot want add annotation describes mean value axis wish make calculation fly rather preemptive calculation assigns value,"['r', ' ggplot2']"
7,grantcontribhtmlmin ignore template tag using grantcontribhtmlmin modify html backboneunderscores project however run grantcontribhtmlmin underscore template lt year gt task output,"['javascript', ' underscore.js', ' gruntjs']"
8,adding keyboard shortcut execute chrome extension created chrome extension would like cause execution using keyboard shortcut snippet,"['json', ' google-chrome', ' google-chrome-extension', ' manifest']"
9,cassandra node space perform completion garbagecollect safely delete stable repair working cassandra cluster node unfortunately node using separate keyspaces table st one table nd one problem seems arise,"['cassandra', ' nodetool']"
10,get last modified file folder specific extension v following piece code need find file extension png recent last modified date able find last modified date place check extension,['vbscript']
11,sorting o wrapper give identical function name sorting o abstraction layer embedded environment window platform end following situation democ simple application working task,"['c', ' windows', ' ansi-c']"
12,dividing number return duplicate trying divide count order return percentage following query returning,"['sql', ' sql-server', ' sum']"
13,python save current variable debugging general debugging question python charm ide matter let u say code made block,"['python', ' debugging']"
14,poster get recent updated row hospital name want get latest updated row hospital writing query like query f,"['sql', ' database', ' postgresql', ' psql', ' rdbms']"
15,saving agent domino designer add ghost library recently installed note computer location cnotes previous installation note computer cnotes everything folder moved note folder,"['java', ' lotus-notes', ' agent', ' domino-designer-eclipse']"
